taxon,lineage,probability,pangoLEARN_version,status,note
USA/California-SanDiego/SEARCH-3375-SAN/2020-07-08,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2749-SAN/2020-07-14,B.1.230,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2977-SAN/2020-09-02,B.1.243,1.0,2020-11-30,passed_qc,
USA/California-Imperial/SEARCH-0658-IPL/2020-04-18,B.1.189,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1582-SAN/2020-05-03,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2166-SAN/2020-06-01,B.1,1.0,2020-11-30,passed_qc,
USA/California-Imperial/SEARCH-0500-IPL/2020-04-04,B.1.320,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1785-SAN/2020-05-12,B.1.243,1.0,2020-11-30,passed_qc,
MEX/BajaCalifornia-Tijuana/SEARCH-2504-TIJ/2020-06-05,B.1.5,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1254-SAN/2020-05-05,B.1.166,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2601-SAN/2020-07-09,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0245-SAN/2020-03-24,B.1,1.0,2020-11-30,passed_qc,
USA/California-Imperial/SEARCH-0621-IPL/2020-04-22,B.1.230,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1583-SAN/2020-05-05,B.1.5,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-3726-SAN/2020-05-27,B.1.2,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2819-SAN/2020-07-20,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1060-SAN/2020-06-20,B.1,1.0,2020-11-30,passed_qc,
MEX/BajaCalifornia-Tijuana/SEARCH-2513-TIJ/2020-06-15,B.1.230,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-3495-SAN/2020-09-10,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0190-SAN/2020-03-30,B.1.374,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0412-SAN/2020-04-21,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0244-SAN/2020-03-28,B.1,1.0,2020-11-30,passed_qc,
USA/California-Imperial/SEARCH-0645-IPL/2020-04-23,B.1.5,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0314-SAN/2020-03-26,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-1053-SAN/2020-06-21,B.1.5,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0419-SAN/2020-03-30,B.1.243,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0711-SAN/2020-03-30,B.1,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0680-SAN/2020-05-04,B.1.245,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-0584-SAN/2020-04-15,B.1.245,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-3061-SAN/2020-07-30,B.1.1.291,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-2904-SAN/2020-07-24,B.1.1.192,1.0,2020-11-30,passed_qc,
USA/California-SanDiego/SEARCH-3404-SAN/2020-07-07,B.1.230,1.0,2020-11-30,passed_qc,
